Day,Archibald the Wise,Archiwise the Bald,Averill,Azeru,Boltholopew,Burova,Cayn,Danny Nova,Dankon Ground,Gnarck,Gouberi,Lomerius Xardus,Moon Finder,Nettie Silver,Penta Vasi,Ricewined,Tehami Darke,Yungreen,Zancro,Zeledin Zura
194,2,N/A,N/A,N/A,6,N/A,11,N/A,N/A,N/A,N/A,N/A,8,11,N/A,N/A,8,N/A,N/A,N/A
195,3,N/A,N/A,N/A,8,N/A,12,N/A,N/A,N/A,N/A,N/A,9,4,N/A,N/A,10,N/A,N/A,N/A
196,4,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,3,7,N/A,N/A,8,N/A,N/A,N/A
197,5,5,N/A,2,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,6,N/A,N/A,N/A
198,7,5,4,3,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,11,11,N/A,N/A,8,N/A,N/A,N/A
199,3,7,N/A,4,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,8,11,N/A,N/A,6,N/A,N/A,N/A
200,6,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,9,N/A,N/A,6,N/A,N/A,N/A
201,4,5,N/A,6,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,10,N/A,N/A,11,N/A,8,N/A
202,4,N/A,N/A,N/A,11,N/A,7,N/A,N/A,N/A,N/A,N/A,11,4,N/A,N/A,6,N/A,N/A,N/A
203,4,N/A,N/A,8,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,11,N/A,N/A,8,N/A,N/A,N/A
204,3,5,N/A,N/A,N/A,N/A,9,7,N/A,N/A,N/A,N/A,9,5,N/A,N/A,6,N/A,N/A,N/A
205,5,5,2,10,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,N/A,N/A
206,3,5,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,12,N/A,N/A,6,N/A,N/A,N/A
207,6,7,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,11,4,N/A,N/A,6,N/A,N/A,N/A
208,2,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,1,8,N/A,N/A,10,N/A,8,N/A
209,3,5,N/A,2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,6,N/A,N/A,N/A
210,3,N/A,N/A,3,9,N/A,N/A,5,N/A,N/A,N/A,N/A,8,11,N/A,N/A,9,N/A,N/A,N/A
211,4,N/A,N/A,4,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,N/A,N/A,9,N/A,12,N/A
212,3,7,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,N/A,N/A
213,4,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,11,N/A,N/A,6,N/A,N/A,N/A
214,3,5,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A,7,9,N/A,N/A,8,N/A,N/A,N/A
215,3,5,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,2,11,N/A,N/A,6,N/A,N/A,N/A
216,3,7,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,2,5,N/A,N/A,6,N/A,N/A,N/A
217,N/A,7,6,N/A,9,N/A,10,7,N/A,N/A,N/A,N/A,5,10,N/A,N/A,6,N/A,N/A,N/A
218,N/A,N/A,N/A,N/A,10,N/A,11,N/A,N/A,N/A,N/A,N/A,4,11,N/A,N/A,6,N/A,N/A,N/A
219,N/A,N/A,N/A,N/A,6,N/A,12,N/A,N/A,N/A,N/A,N/A,8,3,N/A,N/A,6,N/A,N/A,N/A
220,N/A,7,N/A,N/A,N/A,N/A,1,3,3,N/A,N/A,N/A,10,4,N/A,N/A,6,N/A,5,N/A
221,N/A,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,9,N/A,N/A,6,N/A,11,N/A
222,N/A,5,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,6,N/A,N/A,N/A
223,N/A,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,7,N/A,N/A,6,N/A,N/A,N/A
224,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,6,N/A,N/A,N/A
225,N/A,5,6,6,9,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,11,N/A
226,N/A,N/A,N/A,7,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,11,N/A,N/A,6,N/A,N/A,N/A
227,N/A,N/A,N/A,N/A,7,N/A,8,6,N/A,N/A,N/A,N/A,4,7,N/A,N/A,6,N/A,N/A,N/A
228,N/A,7,N/A,N/A,N/A,N/A,9,1,N/A,N/A,N/A,N/A,7,7,N/A,N/A,6,N/A,N/A,N/A
229,N/A,7,N/A,10,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,3,7,N/A,N/A,6,N/A,2,N/A
230,N/A,7,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,2,9,N/A,N/A,6,N/A,N/A,N/A
231,N/A,7,N/A,12,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,11,11,N/A,N/A,7,N/A,N/A,N/A
232,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,6,8,N/A,N/A,9,N/A,N/A,N/A
233,N/A,7,N/A,2,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,9,N/A,N/A,N/A
234,N/A,N/A,N/A,N/A,7,N/A,3,8,N/A,N/A,N/A,N/A,8,4,N/A,N/A,6,N/A,N/A,N/A
235,N/A,N/A,7,4,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,8,N/A,N/A,N/A
236,N/A,5,N/A,N/A,N/A,N/A,5,9,N/A,N/A,N/A,N/A,9,10,N/A,N/A,6,N/A,N/A,N/A
237,N/A,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,6,N/A,N/A,6,N/A,N/A,N/A
238,N/A,7,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,9,8,N/A,N/A,6,N/A,N/A,N/A
239,N/A,5,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,9,N/A,N/A,6,N/A,N/A,N/A
240,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,10,9,N/A,N/A,6,N/A,N/A,N/A
241,N/A,5,N/A,10,11,N/A,N/A,5,N/A,N/A,N/A,N/A,8,11,N/A,N/A,6,N/A,12,N/A
242,N/A,N/A,N/A,11,8,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,6,N/A,10,N/A
243,N/A,N/A,N/A,12,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,11,N/A,N/A,6,N/A,N/A,N/A
244,N/A,5,N/A,1,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,11,7,N/A,N/A,8,N/A,N/A,N/A
245,N/A,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,6,N/A,N/A,6,N/A,N/A,N/A
246,N/A,7,6,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,N/A,N/A,10,N/A,N/A,N/A
247,N/A,7,N/A,4,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,4,4,N/A,N/A,6,N/A,N/A,N/A
248,N/A,5,N/A,5,N/A,N/A,N/A,9,8,N/A,N/A,N/A,4,8,N/A,N/A,10,N/A,12,N/A
249,N/A,7,N/A,N/A,10,N/A,6,8,N/A,N/A,N/A,N/A,6,8,N/A,N/A,6,N/A,N/A,N/A
250,N/A,N/A,N/A,7,10,N/A,N/A,8,N/A,N/A,N/A,N/A,4,9,N/A,N/A,10,N/A,N/A,N/A
251,N/A,N/A,N/A,8,5,N/A,N/A,4,N/A,N/A,N/A,N/A,10,8,N/A,N/A,6,N/A,N/A,N/A
252,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,4,6,N/A,N/A,6,N/A,N/A,N/A
253,N/A,5,12,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,7,N/A,N/A,8,N/A,N/A,N/A
254,N/A,5,N/A,N/A,N/A,N/A,11,3,N/A,N/A,N/A,N/A,9,5,N/A,N/A,9,N/A,11,N/A
255,N/A,5,N/A,N/A,N/A,N/A,12,3,N/A,N/A,N/A,N/A,9,10,N/A,N/A,6,N/A,N/A,N/A
256,N/A,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,4,9,N/A,N/A,6,N/A,N/A,N/A
257,N/A,7,N/A,N/A,6,N/A,2,5,N/A,N/A,N/A,N/A,2,5,N/A,N/A,8,N/A,N/A,N/A
258,N/A,N/A,N/A,3,8,N/A,N/A,4,N/A,N/A,N/A,N/A,3,11,N/A,N/A,6,N/A,N/A,N/A
259,N/A,N/A,N/A,N/A,11,N/A,4,N/A,1,N/A,N/A,N/A,1,2,N/A,N/A,11,N/A,N/A,N/A
260,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,8,N/A,N/A,6,N/A,11,N/A
261,N/A,5,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,10,9,N/A,N/A,6,N/A,N/A,N/A
262,N/A,5,N/A,7,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,4,11,N/A,N/A,6,N/A,N/A,N/A
263,N/A,7,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,4,6,N/A,N/A,6,N/A,N/A,N/A
264,N/A,7,N/A,N/A,N/A,N/A,9,7,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,6,N/A,7,N/A
265,N/A,5,N/A,10,11,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,11,N/A,5,N/A
266,N/A,N/A,N/A,11,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,6,N/A,2,N/A
267,N/A,N/A,9,12,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,11,N/A,N/A,6,N/A,N/A,N/A
268,N/A,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,10,2,N/A,N/A,10,N/A,12,N/A
269,N/A,7,N/A,2,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,9,6,N/A,N/A,6,N/A,N/A,N/A
270,N/A,5,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,8,11,N/A,N/A,11,N/A,N/A,N/A
271,N/A,5,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,3,10,N/A,N/A,6,N/A,7,N/A
272,N/A,5,N/A,5,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,6,N/A,N/A,N/A
273,N/A,7,N/A,6,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,10,N/A,N/A,6,N/A,N/A,N/A
274,N/A,N/A,N/A,7,11,N/A,N/A,7,N/A,N/A,N/A,N/A,9,7,N/A,N/A,6,N/A,N/A,N/A
275,N/A,N/A,3,8,10,N/A,N/A,9,N/A,N/A,N/A,N/A,8,11,N/A,N/A,8,N/A,N/A,N/A
276,N/A,5,N/A,9,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,6,11,N/A,N/A,10,N/A,N/A,N/A
277,N/A,7,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,6,N/A,5,N/A
278,N/A,7,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,5,N/A,N/A,6,N/A,N/A,N/A
279,N/A,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,8,N/A,N/A,6,N/A,N/A,N/A
280,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,2,2,N/A,N/A,6,N/A,N/A,N/A
281,N/A,5,N/A,N/A,8,N/A,2,N/A,5,N/A,N/A,N/A,11,10,N/A,N/A,6,N/A,N/A,N/A
282,N/A,N/A,N/A,N/A,11,N/A,3,5,N/A,N/A,N/A,N/A,3,3,N/A,N/A,11,N/A,N/A,N/A
283,N/A,N/A,N/A,4,10,N/A,N/A,6,5,N/A,N/A,N/A,4,9,N/A,N/A,6,N/A,12,N/A
284,N/A,7,N/A,5,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,10,11,N/A,N/A,6,N/A,2,N/A
285,N/A,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,2,N/A,N/A,6,N/A,4,N/A
286,N/A,5,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,9,5,N/A,N/A,6,N/A,N/A,N/A
287,N/A,5,4,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,8,N/A
288,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,6,N/A,N/A,N/A
289,N/A,5,N/A,10,8,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,10,N/A,N/A,6,N/A,11,N/A
290,N/A,N/A,N/A,N/A,8,N/A,11,2,N/A,N/A,N/A,N/A,7,8,N/A,N/A,6,N/A,N/A,N/A
291,N/A,N/A,N/A,N/A,10,N/A,12,6,N/A,N/A,N/A,N/A,4,10,N/A,N/A,9,N/A,3,N/A
292,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,7,9,N/A,N/A,9,N/A,N/A,N/A
293,N/A,5,N/A,2,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,6,N/A,N/A,N/A
294,N/A,5,N/A,N/A,N/A,N/A,3,6,N/A,N/A,N/A,N/A,2,11,N/A,N/A,8,N/A,N/A,N/A
295,N/A,5,1,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,6,3,N/A,N/A,6,N/A,N/A,N/A
296,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,8,8,N/A,N/A,8,N/A,N/A,N/A
297,N/A,7,N/A,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,10,N/A,N/A,6,N/A,N/A,N/A
298,N/A,N/A,N/A,N/A,11,N/A,7,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A,8,N/A,N/A,N/A
299,N/A,N/A,N/A,8,5,N/A,N/A,7,N/A,N/A,N/A,N/A,11,10,N/A,N/A,6,N/A,N/A,N/A
300,N/A,5,N/A,9,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,3,10,N/A,N/A,6,N/A,9,N/A
301,N/A,7,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,11,N/A,N/A,6,N/A,N/A,N/A
302,N/A,7,7,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,3,N/A
303,N/A,7,N/A,12,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,5,6,N/A,N/A,8,N/A,N/A,N/A
304,N/A,7,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,8,5,N/A,N/A,6,N/A,N/A,N/A
305,N/A,7,N/A,2,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,6,N/A,N/A,6,N/A,N/A,N/A
306,N/A,N/A,N/A,3,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,2,N/A,N/A,6,N/A,N/A,N/A
307,N/A,N/A,N/A,N/A,11,N/A,4,N/A,N/A,N/A,N/A,N/A,6,10,N/A,N/A,6,N/A,N/A,N/A
308,N/A,7,6,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,8,N/A,N/A,6,N/A,11,N/A
309,N/A,5,N/A,6,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,6,10,N/A,N/A,6,N/A,N/A,N/A
310,N/A,5,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,11,N/A,N/A,N/A
311,N/A,7,N/A,8,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,3,10,N/A,N/A,6,N/A,N/A,N/A
312,N/A,5,N/A,N/A,N/A,N/A,9,2,N/A,N/A,N/A,N/A,9,7,N/A,N/A,6,N/A,N/A,N/A
313,N/A,5,N/A,N/A,11,N/A,10,N/A,N/A,N/A,N/A,N/A,10,11,N/A,N/A,6,N/A,N/A,N/A
314,N/A,N/A,6,11,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A,N/A,6,N/A,N/A,N/A
315,N/A,N/A,N/A,12,7,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,10,N/A,N/A,N/A
316,N/A,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,10,6,N/A,N/A,6,N/A,N/A,N/A
317,N/A,7,N/A,N/A,N/A,N/A,2,N/A,4,N/A,N/A,N/A,3,3,N/A,N/A,6,N/A,N/A,N/A
318,N/A,7,N/A,3,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,6,N/A,N/A,6,N/A,4,N/A
319,N/A,5,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,7,7,N/A,N/A,6,N/A,N/A,N/A
320,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,11,11,N/A,N/A,6,N/A,N/A,N/A
321,N/A,5,N/A,N/A,6,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,N/A,N/A
322,N/A,N/A,N/A,7,5,N/A,N/A,9,N/A,N/A,N/A,N/A,11,11,N/A,N/A,6,N/A,N/A,N/A
323,N/A,N/A,N/A,8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,5,N/A,N/A,6,N/A,N/A,N/A
324,N/A,7,N/A,N/A,N/A,N/A,9,5,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,6,N/A,2,N/A
325,N/A,5,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,10,11,N/A,N/A,6,N/A,N/A,N/A
326,N/A,7,N/A,11,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,8,11,N/A,N/A,6,N/A,N/A,N/A
327,N/A,7,7,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,10,N/A,N/A,6,N/A,N/A,N/A
328,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8,N/A,N/A,9,N/A,N/A,N/A
329,N/A,7,N/A,2,8,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A,N/A
330,N/A,N/A,N/A,N/A,7,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,6,N/A,N/A,N/A
331,N/A,N/A,N/A,N/A,11,N/A,4,3,N/A,N/A,N/A,N/A,10,6,N/A,N/A,6,N/A,7,N/A
332,N/A,5,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,5,11,N/A,N/A,6,N/A,N/A,N/A
333,N/A,5,N/A,N/A,N/A,N/A,6,4,N/A,N/A,N/A,N/A,1,8,N/A,N/A,6,N/A,N/A,N/A
334,N/A,7,N/A,7,N/A,N/A,N/A,9,7,N/A,N/A,N/A,N/A,9,N/A,N/A,6,N/A,3,N/A
335,N/A,5,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,7,N/A,N/A,6,N/A,1,N/A
336,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,10,N/A,N/A,6,N/A,N/A,N/A
337,N/A,7,N/A,N/A,11,N/A,10,9,N/A,N/A,N/A,N/A,5,11,N/A,N/A,6,N/A,1,N/A
338,N/A,N/A,N/A,N/A,10,N/A,11,6,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,8,N/A,N/A,N/A
339,N/A,N/A,N/A,12,8,N/A,N/A,9,3,N/A,N/A,N/A,9,6,N/A,N/A,6,N/A,N/A,N/A
340,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,3,N/A,N/A,9,N/A,7,N/A
341,N/A,5,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,10,8,N/A,N/A,6,N/A,N/A,N/A
342,N/A,7,N/A,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,11,4,N/A,N/A,6,N/A,5,N/A
343,N/A,5,N/A,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,11,8,N/A,N/A,6,N/A,6,N/A
344,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,10,10,N/A,N/A,11,N/A,N/A,N/A
345,N/A,5,N/A,6,6,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,N/A,N/A
346,N/A,N/A,6,7,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7,N/A,N/A,10,N/A,N/A,N/A
347,N/A,N/A,N/A,8,7,N/A,N/A,3,N/A,N/A,N/A,N/A,3,10,N/A,N/A,10,N/A,11,N/A
348,N/A,7,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,10,N/A,8,N/A
349,N/A,7,N/A,10,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,6,N/A,N/A,N/A
350,N/A,5,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,N/A,N/A,6,N/A,N/A,N/A
351,N/A,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,6,N/A,N/A,N/A
352,N/A,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,7,N/A,N/A,7,N/A,N/A,N/A
353,N/A,5,N/A,2,8,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,6,N/A,4,N/A
354,N/A,N/A,N/A,N/A,10,N/A,3,N/A,N/A,N/A,N/A,N/A,8,2,N/A,N/A,6,N/A,N/A,N/A
355,N/A,N/A,N/A,4,8,4,N/A,N/A,N/A,N/A,N/A,N/A,11,2,N/A,N/A,6,N/A,3,N/A
356,N/A,7,N/A,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,1,7,N/A,N/A,9,N/A,N/A,N/A
357,N/A,5,N/A,6,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,2,9,N/A,N/A,6,N/A,N/A,N/A
358,N/A,5,4,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A,6,N/A,7,N/A
359,N/A,5,N/A,N/A,N/A,4,8,N/A,N/A,N/A,N/A,N/A,11,11,N/A,N/A,11,N/A,N/A,N/A
360,N/A,7,N/A,N/A,N/A,12,9,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,6,N/A,N/A,N/A
361,N/A,5,N/A,10,9,4,N/A,N/A,N/A,N/A,N/A,N/A,9,11,N/A,N/A,6,N/A,N/A,N/A
362,N/A,N/A,N/A,11,8,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,6,N/A,N/A,N/A
363,N/A,N/A,N/A,12,11,12,N/A,1,N/A,N/A,N/A,N/A,1,9,N/A,N/A,6,N/A,N/A,N/A
364,N/A,5,6,1,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,11,4,N/A,N/A,9,N/A,N/A,N/A
365,N/A,5,N/A,2,N/A,4,N/A,N/A,3,N/A,N/A,N/A,10,10,N/A,N/A,6,N/A,N/A,N/A
366,N/A,5,N/A,3,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,3,9,N/A,N/A,6,N/A,N/A,N/A
367,N/A,7,N/A,N/A,N/A,4,4,4,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,6,N/A,N/A,N/A
368,N/A,5,N/A,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,7,N/A,N/A,6,N/A,N/A,N/A
369,N/A,5,N/A,6,11,12,N/A,5,N/A,N/A,N/A,N/A,1,12,N/A,N/A,6,N/A,N/A,N/A
370,N/A,N/A,4,7,11,12,N/A,N/A,N/A,N/A,N/A,N/A,5,8,N/A,N/A,6,N/A,N/A,N/A
371,N/A,N/A,N/A,N/A,11,4,8,N/A,11,N/A,N/A,N/A,5,2,N/A,N/A,6,N/A,1,N/A
372,N/A,7,N/A,9,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,10,N/A,N/A,6,N/A,N/A,N/A
373,N/A,5,N/A,10,N/A,12,N/A,N/A,8,N/A,N/A,N/A,7,11,N/A,N/A,6,N/A,11,N/A
374,N/A,7,N/A,N/A,N/A,4,11,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,6,N/A,N/A,N/A
375,N/A,7,N/A,12,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,6,5,N/A,N/A,6,N/A,N/A,N/A
376,N/A,5,N/A,N/A,N/A,12,1,8,N/A,N/A,N/A,N/A,11,5,N/A,N/A,6,N/A,N/A,N/A
377,N/A,5,N/A,2,7,12,N/A,6,N/A,N/A,N/A,N/A,3,6,N/A,N/A,10,N/A,8,N/A
378,N/A,N/A,6,3,4,4,N/A,3,N/A,N/A,N/A,N/A,10,7,N/A,N/A,6,N/A,N/A,N/A
379,N/A,N/A,N/A,N/A,7,4,4,9,N/A,N/A,N/A,N/A,7,6,N/A,N/A,6,N/A,N/A,N/A
380,N/A,7,N/A,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,4,N/A
381,N/A,5,N/A,6,N/A,4,N/A,2,N/A,N/A,N/A,N/A,10,6,N/A,N/A,6,N/A,N/A,N/A
382,N/A,5,N/A,7,N/A,4,N/A,3,N/A,N/A,N/A,N/A,11,6,N/A,N/A,9,N/A,9,N/A
383,N/A,7,N/A,N/A,N/A,4,8,N/A,N/A,N/A,N/A,N/A,11,7,N/A,N/A,6,N/A,2,N/A
384,N/A,5,N/A,9,N/A,12,N/A,N/A,8,N/A,N/A,N/A,8,8,N/A,N/A,6,N/A,N/A,N/A
385,N/A,7,N/A,N/A,10,4,10,N/A,N/A,N/A,N/A,N/A,11,10,N/A,N/A,6,N/A,N/A,N/A
386,N/A,N/A,N/A,N/A,8,12,11,2,N/A,N/A,N/A,N/A,2,5,N/A,N/A,7,N/A,N/A,N/A
387,N/A,N/A,N/A,N/A,6,4,12,N/A,N/A,N/A,N/A,N/A,6,11,N/A,N/A,6,N/A,N/A,N/A
388,N/A,5,5,1,N/A,4,N/A,6,N/A,N/A,N/A,N/A,7,8,N/A,N/A,4,N/A,N/A,N/A
389,N/A,5,N/A,2,N/A,12,N/A,6,N/A,N/A,N/A,N/A,2,2,N/A,N/A,6,N/A,4,N/A
390,N/A,5,N/A,3,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,8,5,N/A,N/A,6,N/A,12,N/A
391,N/A,5,N/A,4,N/A,12,N/A,2,N/A,N/A,N/A,N/A,4,5,N/A,N/A,6,N/A,N/A,N/A
